Source,Target,Type,Id,Label,timeset,Weight
3,3,directed,0,,,2
3,3,directed,1,,,2
3,1799,directed,2,,,1
3,846,directed,3,,,1
4,1100,directed,4,,,1
6,66,directed,5,,,1
6,452,directed,6,,,1
6,135,directed,7,,,1
6,184,directed,8,,,1
6,516,directed,9,,,1
6,321,directed,10,,,3
6,321,directed,11,,,3
6,520,directed,12,,,1
6,51,directed,13,,,1
6,975,directed,14,,,1
6,4207,directed,15,,,1
6,356,directed,16,,,1
6,39,directed,17,,,1
6,420,directed,18,,,1
6,2408,directed,19,,,1
6,2098,directed,20,,,1
6,2391,directed,21,,,1
6,188,directed,22,,,1
6,117,directed,23,,,1
6,159,directed,24,,,1
6,642,directed,25,,,1
6,254,directed,26,,,1
6,104,directed,27,,,2
6,829,directed,28,,,1
6,219,directed,29,,,2
6,219,directed,30,,,2
6,104,directed,31,,,2
6,38,directed,32,,,1
6,321,directed,33,,,3
7,7,directed,34,,,3
7,7,directed,35,,,3
7,7,directed,36,,,3
8,8,directed,37,,,1
19,19,directed,38,,,3
19,3,directed,39,,,1
19,19,directed,40,,,3
19,19,directed,41,,,3
21,21,directed,42,,,1
22,209,directed,43,,,1
24,666,directed,44,,,1
25,2205,directed,45,,,1
28,28,directed,46,,,9
28,28,directed,47,,,9
28,28,directed,48,,,9
28,306,directed,49,,,1
28,28,directed,50,,,9
28,28,directed,51,,,9
28,28,directed,52,,,9
28,28,directed,53,,,9
28,28,directed,54,,,9
28,28,directed,55,,,9
32,257,directed,56,,,1
34,34,directed,57,,,2
34,34,directed,58,,,2
39,4720,directed,59,,,1
39,2408,directed,60,,,2
39,5191,directed,61,,,1
39,2408,directed,62,,,2
39,38,directed,63,,,1
40,27,directed,64,,,1
40,153,directed,65,,,1
40,256,directed,66,,,1
45,45,directed,67,,,9
45,45,directed,68,,,9
45,45,directed,69,,,9
45,45,directed,70,,,9
45,211,directed,71,,,1
45,45,directed,72,,,9
45,45,directed,73,,,9
45,45,directed,74,,,9
45,45,directed,75,,,9
45,45,directed,76,,,9
51,829,directed,77,,,1
51,460,directed,78,,,1
51,451,directed,79,,,1
51,104,directed,80,,,1
51,153,directed,81,,,1
51,188,directed,82,,,1
51,117,directed,83,,,1
52,1813,directed,84,,,1
52,1854,directed,85,,,1
52,3170,directed,86,,,1
52,5358,directed,87,,,1
52,5485,directed,88,,,1
52,1696,directed,89,,,1
54,420,directed,90,,,1
54,252,directed,91,,,1
55,585,directed,92,,,1
55,217,directed,93,,,2
55,571,directed,94,,,2
55,217,directed,95,,,2
55,932,directed,96,,,1
55,55,directed,97,,,1
55,571,directed,98,,,2
57,57,directed,99,,,1
58,58,directed,100,,,3
58,8,directed,101,,,1
58,58,directed,102,,,3
58,80,directed,103,,,1
58,58,directed,104,,,3
59,542,directed,105,,,1
59,167,directed,106,,,1
60,1706,directed,107,,,1
62,62,directed,108,,,2
62,62,directed,109,,,2
64,1449,directed,110,,,1
67,67,directed,111,,,2
67,67,directed,112,,,2
70,70,directed,113,,,5
70,730,directed,114,,,1
70,70,directed,115,,,5
70,70,directed,116,,,5
70,70,directed,117,,,5
70,70,directed,118,,,5
70,1064,directed,119,,,1
72,209,directed,120,,,4
72,209,directed,121,,,4
72,209,directed,122,,,4
72,209,directed,123,,,4
73,73,directed,124,,,3
73,1831,directed,125,,,1
73,73,directed,126,,,3
73,2586,directed,127,,,1
73,395,directed,128,,,2
73,73,directed,129,,,3
73,395,directed,130,,,2
75,75,directed,131,,,3
75,215,directed,132,,,2
75,75,directed,133,,,3
75,75,directed,134,,,3
75,215,directed,135,,,2
77,763,directed,136,,,1
77,3842,directed,137,,,1
79,79,directed,138,,,1
80,80,directed,139,,,4
80,80,directed,140,,,4
80,80,directed,141,,,4
80,80,directed,142,,,4
84,70,directed,143,,,1
84,19,directed,144,,,1
88,88,directed,145,,,6
88,88,directed,146,,,6
88,88,directed,147,,,6
88,88,directed,148,,,6
88,88,directed,149,,,6
88,88,directed,150,,,6
91,91,directed,151,,,1
93,112,directed,152,,,1
93,3515,directed,153,,,1
93,1017,directed,154,,,1
93,93,directed,155,,,2
93,93,directed,156,,,2
93,380,directed,157,,,2
93,380,directed,158,,,2
93,2060,directed,159,,,1
93,290,directed,160,,,1
93,53,directed,161,,,1
