Id,Label,timeset,size
0,1156269110545793024,,10074
1,1434227176967053317,,1286
2,1088958106019590144,,39
3,2411626783,,10836
4,1419270422487609347,,2054
5,1090456117,,1871
6,1440658263796641807,,19
7,1420835323458818050,,372
8,3084848345,,2428
9,37399940,,233
10,2322723667,,4663
11,307938665,,672
12,517244096,,159
13,1440398024971210758,,255
14,1303496644558635008,,74
15,1431761261994332161,,380
16,4279619669,,801
17,1428258607947075584,,22
18,1316521013253873664,,107
19,1432086904921542659,,2758
20,1443037217186885637,,761
21,1439611192348221451,,600
22,1307745601493315584,,27
23,1419074643277885444,,860
24,1257235908002148352,,712
25,1446037451496046596,,55
26,379711145,,2121
27,1446076698865324040,,4994
28,1368827101575516161,,2195
29,1400012650281685002,,630
30,1263591370381377542,,407
31,1432308337702494209,,1
32,1426219147764150289,,245
33,1442315888888213507,,9
34,4080715212,,1107
35,1405314477554212869,,90
36,1344797849230344193,,80
37,1388044935094366209,,1433
38,1444046078874030081,,620
39,1439985761084854277,,32
40,141449899,,1
41,1440934562738081797,,71
42,206201786,,466
43,1424586485810941953,,279
44,1392518066290847748,,90
45,806442732,,990
46,1441742094192693252,,30
47,1362345712327880705,,101
48,1447802557011841026,,741
49,2417119230,,936
50,1279581944867459072,,1054
51,1445016585249247232,,236
52,202880445,,57
53,1416070452372459523,,1871
54,1436676128035393536,,39
55,1380155461597560833,,711
56,1445920487822004227,,1
57,1424958244535955456,,2201
58,3306286357,,10530
59,1435442659783585800,,397
60,294660130,,7759
61,1362223649571430406,,107
62,22326646,,1859
63,1380694095287422982,,1114
64,1434398515577249799,,997
65,1403452746200666113,,1126
66,1439126539686187008,,137
67,1182339769914855430,,4892
68,1443279472808108038,,1189
69,1420675986815782918,,67
70,1309373433671639041,,3710
71,1384523962667909121,,678
72,1433993377440280577,,274
73,884568713982164992,,1051
74,1318530171691880449,,2424
75,40759945,,580
76,1290304086374588416,,184
77,1367370147061788672,,1
78,1402870736037974017,,1
79,17340970,,292
80,1023405063253807109,,1485
81,1382249901594091521,,493
82,895609505190297600,,112
83,1917340261,,470
84,1443465952956272640,,27
85,983821973171171328,,99
86,1443832439487418369,,48
87,1439727726752116737,,16
88,241643473,,1148
89,1402658416900907010,,1016
90,1122468522297298945,,18
91,885614620718895104,,41
92,1433892846722035713,,169
93,1116061537,,102
94,1073775207020683265,,1394
95,1433313105694576640,,19
96,1381516639519264771,,326
97,1401584647016833025,,74
98,1433605256135458817,,244
