Id,Label,timeset,size,modularity_class
0,1156269110545793024,,10074,837
1,1434227176967053317,,1286,31
2,1088958106019590144,,39,761
3,2411626783,,10836,837
4,1419270422487609347,,2054,415
5,1090456117,,1871,0
6,1440658263796641807,,19,68
7,1420835323458818050,,372,289
8,3084848345,,2428,43
9,37399940,,233,37
10,2322723667,,4663,43
11,307938665,,672,31
12,517244096,,159,1
13,1440398024971210758,,255,37
14,1303496644558635008,,74,68
15,1431761261994332161,,380,43
16,4279619669,,801,37
17,1428258607947075584,,22,2
18,1316521013253873664,,107,31
19,1432086904921542659,,2758,837
20,1443037217186885637,,761,31
21,1439611192348221451,,600,23
22,1307745601493315584,,27,235
23,1419074643277885444,,860,68
24,1257235908002148352,,712,31
25,1446037451496046596,,55,68
26,379711145,,2121,31
27,1446076698865324040,,4994,761
28,1368827101575516161,,2195,23
29,1400012650281685002,,630,415
30,1263591370381377542,,407,23
31,1432308337702494209,,1,3
32,1426219147764150289,,245,46
33,1442315888888213507,,9,4
34,4080715212,,1107,31
35,1405314477554212869,,90,837
36,1344797849230344193,,80,37
37,1388044935094366209,,1433,289
38,1444046078874030081,,620,68
39,1439985761084854277,,32,68
40,141449899,,1,761
41,1440934562738081797,,71,43
42,206201786,,466,5
43,1424586485810941953,,279,351
44,1392518066290847748,,90,6
45,806442732,,990,43
46,1441742094192693252,,30,7
47,1362345712327880705,,101,8
48,1447802557011841026,,741,68
49,2417119230,,936,289
50,1279581944867459072,,1054,415
51,1445016585249247232,,236,68
52,202880445,,57,68
53,1416070452372459523,,1871,289
54,1436676128035393536,,39,68
55,1380155461597560833,,711,761
56,1445920487822004227,,1,9
57,1424958244535955456,,2201,415
58,3306286357,,10530,837
59,1435442659783585800,,397,23
60,294660130,,7759,43
61,1362223649571430406,,107,837
62,22326646,,1859,837
63,1380694095287422982,,1114,837
64,1434398515577249799,,997,31
65,1403452746200666113,,1126,31
66,1439126539686187008,,137,68
67,1182339769914855430,,4892,31
68,1443279472808108038,,1189,289
69,1420675986815782918,,67,289
70,1309373433671639041,,3710,43
71,1384523962667909121,,678,705
72,1433993377440280577,,274,31
73,884568713982164992,,1051,837
74,1318530171691880449,,2424,837
75,40759945,,580,31
76,1290304086374588416,,184,68
77,1367370147061788672,,1,289
78,1402870736037974017,,1,10
79,17340970,,292,11
80,1023405063253807109,,1485,837
81,1382249901594091521,,493,31
82,895609505190297600,,112,68
83,1917340261,,470,536
84,1443465952956272640,,27,43
85,983821973171171328,,99,12
86,1443832439487418369,,48,68
87,1439727726752116737,,16,325
88,241643473,,1148,31
89,1402658416900907010,,1016,23
90,1122468522297298945,,18,13
91,885614620718895104,,41,14
92,1433892846722035713,,169,837
93,1116061537,,102,31
94,1073775207020683265,,1394,31
95,1433313105694576640,,19,15
96,1381516639519264771,,326,31
97,1401584647016833025,,74,16
98,1433605256135458817,,244,31
99,1439663925180579843,,15,17
100,1373517671849988098,,6,837
101,1383532061646938124,,101,761
102,1700060508,,4601,289
103,1414276820858544135,,878,351
104,1446286578771369984,,310,68
105,1412945535837696001,,794,43
106,1376279333308932098,,141,742
107,1381657348524154888,,5,98
108,1145841138294644736,,448,837
109,1426097676379201536,,366,837
110,1391753709718147075,,94,289
111,1424044479791706114,,1604,235
112,1408234306233843714,,5419,31
113,1445074134073896960,,684,31
114,726825379,,80,31
115,1426610435634221057,,81,327
116,1445147491691745282,,44,18
117,1441487992904814594,,315,68
118,70842980,,8,929
119,1416275706787491840,,22,19
120,2371575838,,875,23
121,1430606303190212611,,5,20
122,909458417923743744,,62,327
123,3191032983,,1763,837
124,1229377702001565696,,56,31
125,1437503382793691142,,188,837
126,4920946291,,985,876
127,35619167,,9,837
128,1439991198786080770,,126,31
129,1302840847482810369,,216,837
130,1435830206112014343,,7,506
131,1021643080208801792,,249,327
132,1441633432329592834,,8,21
133,1446041104768327681,,2,68
134,1398663117614239752,,1,22
135,958463343429390337,,96,68
136,1386646731450949633,,4645,327
137,720481518,,258,327
138,1447687250108723201,,57,23
139,1408048834358427650,,2882,31
140,1311583482011881473,,347,31
141,1184411646036512774,,99,24
142,1446568504094859271,,14,837
143,1443817325241647105,,10,25
144,1437317608647413760,,374,23
145,1438103055191482372,,111,37
146,3087274114,,93,31
147,1439843776390832133,,40,837
148,119911555,,37,26
149,1415444418010619907,,361,31
150,1389625397088763912,,40,23
151,1207645993136603137,,183,68
152,1396992483867996160,,463,415
153,1954313480,,3661,837
154,1057423340225392641,,2570,31
155,968220105850130433,,376,837
156,1405336790391824389,,434,68
157,433487651,,76,837
158,1440494205743230977,,3,27
159,1443855897248210949,,129,68
160,285113855,,35,28
161,802138076399144960,,128,23
162,1438929765650640903,,113,23
163,1436489514206302233,,37,48
164,1433433208897486850,,155,351
165,68738176,,144,235
166,1107401055296475136,,353,29
167,1436706296640716800,,567,23
168,1434683042912686080,,223,31
169,1039023145208799232,,356,37
170,2298710605,,1,837
171,1347785732493078530,,51,30
172,1435628010443522053,,224,837
173,2250820957,,570,327
174,1412288844649570309,,915,48
175,1428425053939642374,,227,369
176,1441681021892579331,,430,31
177,4834702393,,16,68
178,949458210494140416,,133,31
179,1403044167203295233,,2520,31
180,1434848618452824064,,96,837
181,1384184428637802496,,6,837
182,1439369226821701633,,39,31
183,54127327,,28,31
184,932781109292568576,,65,68
185,1366715603919241217,,1788,837
186,1441749695613714436,,55,68
187,432307047,,1,32
188,1431170655077036033,,92,68
189,1445649159114002443,,12,68
190,1426800355644424193,,33,23
191,1420038438414336003,,83,37
192,1440740523166167042,,66,23
193,1435299344215953408,,1361,31
194,1435022705024290825,,215,31
195,19754588,,104,226
196,3224463015,,471,31
197,1435599773470367749,,338,31
198,25160228,,178,33
199,1434853037831380994,,24,31
200,1440943237292707844,,1428,837
201,1432685072256155657,,37,43
202,1431017147682131969,,223,34
203,1421561771169656835,,130,327
204,1441659410514735105,,163,235
205,1435965957545938947,,15,351
206,1438174480992555017,,68,761
207,1421023104051007497,,225,37
208,597298980,,20,35
209,1421561588000206848,,2239,31
210,1435787804814966785,,12,36
211,1436892615647973377,,673,37
212,1415809282369490945,,1,45
213,1443932230762606598,,2306,31
214,1394659076886482950,,1033,31
215,1426318224979804160,,575,31
216,1440473006577356804,,112,31
217,1379503561516621826,,495,761
218,1436315838521483264,,107,43
219,1445381686221438978,,26,68
220,1353767790625255424,,7,38
221,1441589918778621956,,6,39
222,1405316586706280449,,1,40
223,1382546656353251331,,85,23
224,520293904,,1639,23
225,1383332354924584964,,23,68
226,1257642549851766786,,1685,31
227,83521149,,6,31
228,1435028634767593472,,1,41
229,1113117722697588736,,1,235
230,1437861785160146944,,129,837
231,1371491666335571974,,1868,289
232,1421813720947122178,,140,37
233,1413288875355672577,,11,42
234,1440250052300083206,,1101,43
235,1437680035154968581,,8,44
236,1436249966687645696,,35,289
237,1430645522986016769,,28,45
238,1387860767983161345,,94,43
239,1355188815145676802,,227,68
240,1432360661011636224,,18,23
241,1340769560627195904,,626,837
242,1412575894401556483,,137,37
243,1345039872105406465,,52,235
244,1369056169495384065,,131,31
245,1435299770550075396,,129,415
246,1418055368501088257,,101,31
247,1440790555949088772,,616,23
248,2216404526,,604,23
249,1434999510787297281,,295,37
250,1423293604206764036,,14,289
251,1435529851306344458,,880,289
252,1443747768632111123,,414,68
253,1432998209589325827,,153,289
254,1445025075749535749,,10,68
255,1441042103644082182,,42,351
256,1428268234818539528,,1248,31
257,1353583313227718657,,173,46
258,224610818,,1,47
259,1447634219543506947,,109,48
260,1430497514394947584,,272,31
261,129993487,,34,68
262,918488105794932737,,3,49
263,862405721450827777,,63,485
264,1391358997203017737,,50,50
265,1437589105433407488,,844,31
266,1437973707071311872,,446,37
267,844004856,,82,68
268,1424693773636751362,,1,51
269,763127617780346882,,743,837
270,24987923,,7,837
271,1435333521686601730,,203,1793
272,1444794339264245765,,234,43
273,1434622959684145153,,127,31
274,4276417942,,43,837
275,1240259828456415233,,14,68
276,1412479597594112001,,48,68
277,1446027490271629316,,289,837
278,1447462722837245954,,68,68
279,1443593134957420553,,445,43
280,305089609,,183,37
281,1435499473908617225,,99,485
282,1446969694863429633,,309,31
283,1444144025439817733,,22,52
284,1440745405449261056,,3003,837
285,1426800123938443271,,6,53
286,21963516,,7,706
287,1432903694274596870,,61,327
288,1373133641954463747,,21,54
289,1446066495465926659,,160,351
290,1434510982080958467,,193,235
291,1363254130911944706,,255,55
292,1442221538380447745,,173,56
293,1386077458932195328,,1,57
294,1386276828759855109,,1098,761
295,1364852178263883778,,36,58
296,2895376252,,1,59
297,14196323,,164,37
298,1402602669064306688,,138,837
299,1433597569859457024,,1026,351
300,1371741609449037844,,29,289
301,1444938628296155140,,25,68
302,1447646735938039811,,6,612
303,256001753,,2,60
304,1445793147523452930,,25,61
305,1431822456524664838,,445,31
306,1434146643012587522,,258,23
307,1428723280853311490,,282,31
308,1400093139277434884,,6,62
309,1447256985339113476,,21,63
310,758663817551343616,,137,837
311,1375288573344157708,,265,415
312,1327599681711480832,,34,68
313,1353744517036437507,,202,415
314,1439185697492045826,,28,506
315,1437439923766759426,,2,64
316,911331361956548609,,799,43
317,1438167318304022538,,22,65
318,1442529840519778304,,103,66
319,1424671691775512576,,397,837
320,1429279222967767041,,7,67
321,978781681,,489,68
322,1444963818933719045,,17,23
323,1282116462774288384,,4,69
324,1361729055628943360,,392,31
325,1438472153612050439,,2,70
326,1444576459746463748,,44,68
327,1442462742695145477,,164,31
328,1360700352044048384,,6,68
329,1442565511171096584,,66,71
330,1442491807225421840,,40,68
331,1396863291394232326,,102,43
332,1438408202220032001,,91,837
333,1428791046302015498,,595,31
334,1295324707298967552,,100,72
335,1441291906760073219,,26,68
336,1433701002922762242,,27,73
337,1370024149070979078,,67,43
338,1446784236527095808,,94,74
339,1265223205230383104,,19,226
340,1434220174010462211,,33,75
341,1437728679346401281,,24,23
342,1431154325355581444,,2,76
343,1445225088639328258,,3,77
344,1442868209229582337,,36,78
345,346526830,,272,23
346,1400638510562828289,,6,79
347,1446408535282126850,,28,80
348,1435506998783746050,,118,31
349,1402278190400299010,,14,81
350,1365566451361415168,,717,31
351,1444569162676940809,,8,82
352,1401632114014101510,,69,83
353,1436386220364468232,,1,84
354,1427504484096167937,,32,85
355,1385338514099904525,,22,31
356,1306959182,,7,68
357,1423681705412603904,,348,837
358,1446911167386030081,,39,86
359,1432892540387086337,,29,68
360,1384489333432881154,,83,327
361,1310355823,,26,37
362,1392727294117023744,,1,87
363,1447680971994697729,,597,31
364,1432201256106270725,,7,88
365,1435237281439289347,,15,837
366,1441922132410134533,,8,89
367,1440241367905566729,,4,90
368,1434734265619685377,,279,837
369,1387608608930770945,,21,369
370,1295358300725235712,,464,536
371,1415601219226140672,,395,837
372,1370598716311175176,,1,68
373,998722801975476224,,95,415
374,1443220595911667716,,29,91
375,946901394677575680,,76,68
376,164629019,,1236,289
377,1436021091693051904,,370,37
378,1392782755428290560,,83,92
379,1446202361626644485,,425,837
380,1429747327602860034,,230,31
381,2535946478,,3,265
382,1368744682751156224,,1,93
383,1360377122867408898,,5,68
384,1446113312513531908,,6,23
385,1434347379793154050,,30,94
386,1444398226321326081,,170,23
387,1436393119755472901,,36,95
388,1371589013451149319,,16,837
389,907549410195800066,,1,96
390,1445406350410928131,,58,68
391,1435299252511592455,,21,23
392,1427670008482521097,,50,43
393,1230645729963712513,,6,97
394,1442623269308350468,,207,31
395,1436809986009706502,,61,837
396,1440719310972809222,,38,98
397,18698960,,307,37
398,1362156821839040513,,23,99
399,1434933085645287427,,226,837
400,389010886,,678,235
401,2364233382,,101,100
402,1435989869495468032,,5,101
403,1264719891908538369,,16,102
404,116788515,,203,837
405,1428969039661993989,,37,68
406,91935473,,708,31
407,1420229901945344002,,41,43
408,1441392306259574794,,13,103
409,1442781147537235968,,101,23
410,1420763128661520386,,365,31
411,214406252,,168,68
