Id,Label,timeset,size,modularity_class
0,1448474516380733447,,943,6
1,1448352833284235267,,2062,6
2,1448160710492663810,,73,4
3,1448436553194237957,,36,6
4,1448289139825135618,,4386,6
5,1448298072279244803,,1745,1
6,1448378007438209026,,703,6
7,1448459638567936002,,19,1
8,1448357887424741378,,186,4
9,1448474291184574467,,359,6
10,1448415552838451200,,200,4
11,1448238571706458112,,630,6
12,1448480025204838403,,459,6
13,1448466636847996928,,13,102
14,1448430293849935873,,81,628
15,1448487694309330945,,1,628
16,1447937880454803464,,58,628
17,1448425020821282823,,324,628
18,1448269455482503179,,649,6
19,1448251637328318467,,2092,6
20,1448328832033779712,,5,4
21,1448480135062065152,,1514,6
22,1447492090053595137,,63,102
23,1448463250769670145,,123,102
24,1448263314065092615,,486,6
25,1448473051092426752,,771,6
26,1448342611584974849,,541,6
27,1448449390868320256,,409,6
28,1448479404171173895,,19,4
29,1448293570843086853,,5595,6
30,1448442764077764612,,656,6
31,1448322199039791110,,286,6
32,1448261925612056577,,46,1
33,1442400656791277572,,1,6
34,1448274133305942018,,4159,6
35,1448309946026708997,,692,4
36,1448414600794451969,,537,6
37,1448456457159004162,,353,1
38,1448371814028226571,,1,6
39,1448441606386892805,,205,1
40,1447836880007876609,,8,628
41,1448165687415824386,,834,6
42,1448262778548936706,,836,6
43,1448211712012861441,,595,6
44,1448459346996699136,,226,4
45,1445024607992311808,,70,6
46,1448176824161165318,,437,6
47,1448428809070383105,,63,4
48,1446649341691695107,,116,146
49,1448227779279945728,,516,1
50,1448182364765491201,,292,6
51,1447900765897388033,,27,1
52,1448487466818842625,,1,2
53,1448439209182863360,,64,628
54,1448269820798058506,,366,6
55,1448288765328433154,,228,4
56,1448451384542744580,,31,1
57,1448228014450298880,,145,4
58,1443996171622666251,,26,102
59,1448485443113140227,,81,6
60,1448381405512310799,,204,1
61,1448422303625187334,,185,4
62,1448272309672833028,,842,1
63,1448295933544828934,,198,1
64,1448229994577027082,,48,1
65,1448476252009115648,,643,4
66,1448194726767718401,,35,1
67,1448297053562589184,,86,4
68,1448487290326630400,,1,3
69,1448254863570243586,,1839,1
70,1448249661593047048,,3113,6
71,1448447936921276417,,351,4
72,1448170020857548800,,6452,6
73,1448474507581272064,,150,6
74,1447997976698187777,,908,1
75,1448313433032638469,,88,4
76,1448287420286267395,,1532,6
77,1448352618464616457,,866,6
78,1448285462527758352,,750,102
79,1448309997633515521,,941,4
80,1448471030117195776,,100,628
81,1447849541957476355,,28,4
82,1448376516530905091,,145,102
83,1447169122358333441,,56,146
84,1448480077180649479,,59,6
85,1447569037421006866,,562,146
86,1448173569410691074,,279,6
87,1448430995993239554,,48,4
88,1448375050541801474,,303,6
89,1448478926393815042,,6,628
90,1448238872513687556,,212,4
91,1448238132831219714,,2033,6
92,1448370691913486342,,55,4
93,1448457168085192705,,61,1
94,1448487355636195331,,1,5
95,1448487622364459011,,1,102
96,1447952807642890241,,253,6
97,1448307441217806343,,641,6
98,1448212319373234178,,4759,6
99,1448361621168934914,,447,6
100,1448316347398725635,,17,1
101,1448429578079260672,,162,4
102,1448083854506463240,,65,4
103,1448147613321150466,,8,4
104,1448469772006526977,,2,6
105,1448473759078256647,,9,4
106,1448443836695470086,,82,4
107,1448242264375902208,,32,1
108,1448471339166310401,,11,628
109,1448408131629953030,,311,4
110,1448374624895619074,,50,4
111,1442188635101663233,,16,4
112,1448411812492369920,,25,4
113,1448399049665679364,,139,102
114,1448046763881947149,,44,628
115,1448339708547899395,,273,4
116,1446873608350048260,,17,6
117,1448264799205351428,,144,6
118,1448121343032053768,,513,6
119,1448450390467350528,,51,1
120,1448287413101494279,,83,4
121,1448381018121990145,,14,4
122,1448149166304149509,,3,1
123,1448099935337938950,,21,146
124,1448383660873289731,,80,628
125,1448305925161250817,,3042,6
126,1448302814015508486,,444,6
127,1448257416634658823,,440,6
128,1448279492414173194,,178,1
129,1448405768571555841,,68,4
130,1448363653527334913,,60,628
131,1448407111508037634,,113,4
132,1447963523565465602,,3,1
133,1448453871769034756,,46,628
134,1448386010262511621,,184,6
135,1448254243538972672,,250,4
136,1448437453979750405,,21,1
137,1448056424102252545,,609,4
138,1448451927692484614,,80,4
139,1448369370330279947,,89,4
140,1448259499597316104,,63,6
141,1448138483474698244,,1762,6
142,1448263724964491273,,160,1
143,1448478378672246786,,40,4
144,1447981291463340034,,161,6
145,1447690354938023942,,72,4
146,1448482514276794371,,33,4
147,1448480935020687366,,19,4
148,1448257420166238211,,256,1
149,1448262790192508930,,3,967
150,1448459425568550915,,13,4
151,1448359986543874057,,301,4
152,1448154829289926657,,37,4
153,1448143474369314819,,3,1014
154,1447302182894804997,,179,146
155,1448484411498897412,,26,6
156,1448321406760992771,,282,6
157,1448259202917416965,,44,628
158,1444673726193274880,,40,6
159,1448386306460037120,,73,102
160,1448273773216497665,,194,4
161,1448485322371710979,,5,6
162,1447659544931442696,,6,102
163,1448486855565996032,,7,4
164,1448144929755058180,,192,102
165,1447971678550691856,,44,4
166,1448478523207950340,,6,4
167,1447879972182446088,,212,1
168,1448083649434427399,,6,102
169,1448330570484760583,,506,6
170,1447172124842479620,,2,1
171,1448169513271250945,,1,4
172,1448463939369582593,,32,628
173,1447993675997458432,,2,102
174,1448300158912016384,,688,6
175,1448479531551977475,,7,4
176,1448409596104638464,,48,4
177,1448165057267916801,,41,4
178,1448412357097627648,,67,1
179,1448046502191017987,,110,4
180,1448393106865467392,,79,4
181,1448031272970997766,,129,4
182,1447870427993346052,,84,1
183,1448373771258183680,,3,1
184,1447774380407209984,,9,628
185,1448404806385782791,,43,4
186,1445247651818049542,,659,6
187,1448195850463637504,,152,4
188,1448279295848112132,,156,628
189,1448333408426348545,,184,6
190,1447944934632341510,,97,102
191,1448018439931580416,,23,4
192,1448462370200641541,,24,102
193,1447716873630519300,,42,4
194,1448436250575347715,,136,4
195,1448220396373696518,,12004,6
196,1448033564772089859,,34,1
197,1448384861425881090,,321,4
198,1448151624476598280,,622,6
199,1448125256523259913,,526,102
200,1448363265243942924,,118,4
201,1447882794559025161,,1,4
202,1448418329186603008,,36,4
203,1448404754762113032,,92,1
204,1448345211931959304,,396,1129
205,1448163429198569474,,63,4
206,1448473264154570753,,114,628
207,1448067571228549121,,227,6
208,1448419801429336069,,78,628
209,1448318992335134730,,368,1
210,1448438825169133569,,68,4
211,1447875026095525891,,43,4
212,1448247378570588163,,523,4
213,1448486946888724484,,3,4
214,1448264500914782208,,89,1
215,1448144306951188484,,159,4
216,1448170284637298690,,18,4
217,1448352889525743622,,115,4
218,1448412168488198150,,96,628
219,1448222982078353410,,15,4
220,1444023179631022082,,3208,6
221,1448445266600812547,,24,628
222,1448483336092110857,,2,6
223,1448294424107261958,,122,4
224,1448302111029088258,,553,4
225,1448302152569344000,,291,6
226,1448216458010447873,,458,4
227,1448460878970511360,,117,102
228,1448332126865149958,,314,1
229,1445402912709021696,,1,8
230,1448315678537175043,,161,4
231,1447668240931381251,,117,628
232,1448479297291882496,,39,6
233,1448011222381694976,,190,6
234,1448471340411850754,,14,4
235,1448463156091645954,,39,1
236,1430964630571081734,,768,6
237,1448362544238931974,,150,1129
238,1442765985073692675,,366,1
239,1448184547850346498,,16,1
240,1448168231127113733,,38,4
241,1447621783729934336,,13,4
242,1447943838505574409,,1169,6
243,1448362662262362119,,82,4
244,1448277181180878849,,81,102
245,1448486728164003845,,1,499
246,1448363210634039301,,33,4
247,1448337895232770050,,20,4
248,1448309122508607493,,53,1
249,1448169802288308226,,44,4
250,1448024378105638913,,1488,6
251,1448272032953557000,,49,1
252,1448087779892764676,,1,102
253,1448255221105246214,,74,1
254,1446114425711120395,,10,1
255,1448117229451628548,,2020,6
256,1448319875353559047,,27,628
257,1448411328352333826,,54,4
258,1448359721832964110,,125,4
259,1442429187671928834,,3,579
260,1448304564202090500,,815,6
261,1448273716610154502,,239,4
262,1448386087936827393,,251,4
263,1448347808419893251,,97,4
264,1448433212699471872,,87,628
265,1448170076667056130,,38,4
266,1447887503248306180,,191,4
267,1448272199257841665,,216,4
268,1448300342786076672,,120,4
269,1448306926542987265,,295,6
270,1447951419001081867,,155,6
271,1447983045710004224,,88,6
272,1448460790550315008,,21,4
273,1448219006691905543,,389,4
274,1448180218267516930,,1212,6
275,1448274987828199424,,27,1
276,1448378258534379526,,192,461
277,1448468722415452160,,105,4
278,1447941431289581569,,136,4
279,1448186812271267841,,13,1
280,1447845874596515841,,95,628
281,1448363868351311880,,55,4
282,1448289684019236864,,190,1
283,1448257888909029379,,158,6
284,1446891535153332225,,19,1
285,1448426670642417668,,137,4
286,1447837666804842497,,4,1
287,1448382178467794944,,238,4
288,1448249301071585285,,547,4
289,1448471727516921856,,26,4
290,1447972148815929346,,1,102
291,1448301790626148355,,115,4
292,1448031470904356867,,136,4
293,1448282401424035850,,337,6
294,1448207258249203717,,257,4
295,1448443175727767552,,23,4
296,1448259796847714311,,209,4
297,1448287336886939658,,51,628
298,1448246618205999108,,5,1
299,1448410486517633025,,60,4
300,1448414953933717505,,62,102
301,1446292250795733001,,7,6
302,1447821731842854924,,43,6
303,1447781574116876289,,2,573
304,1448197568652062724,,115,4
305,1448486898289332224,,1,9
306,1448483715005419522,,4,1129
307,1448363203151503360,,127,4
308,1448251890257448966,,17,1
309,1448106374626430988,,184,6
310,1448178045924397057,,66,4
311,1445396356667871232,,5,6
312,1437431206505848832,,1,6
313,1448317155007602691,,398,6
314,1443693589129687056,,1,10
315,1448357106545934339,,83,102
316,1448262149567131651,,310,4
317,1448193631915937794,,113,1
318,1448229060103004161,,528,4
319,1435779133364183047,,9,4
