Source,Target,Weight
0,2,9
0,15,4
0,23,2
0,27,1
0,30,1
0,31,6
0,33,1
0,38,2
0,44,1
0,45,1
0,47,1
0,49,11
0,53,8
0,55,1
0,59,1
0,67,1
0,68,2
0,71,6
0,72,3
0,75,1
0,78,1
0,82,1
0,84,1
0,87,1
0,88,1
0,90,1
0,91,1
0,92,1
0,93,1
0,96,1
0,98,1
0,100,1
0,101,1
0,103,1
0,104,1
0,106,1
0,113,2
0,114,2
0,124,2
0,135,1
0,136,2
0,142,1
0,164,1
0,171,1
0,172,1
0,190,1
0,196,2
0,198,1
0,199,1
0,200,1
0,204,1
0,205,1
0,206,1
0,209,1
0,214,1
0,215,1
0,216,1
0,217,1
0,218,1
0,219,1
0,220,1
0,221,1
0,222,1
0,223,1
0,224,4
0,230,1
0,269,2
0,285,1
0,328,1
0,329,1
0,330,1
0,331,1
1,6,1
2,3,11
2,7,3
2,8,3
2,9,3
2,11,1
2,12,3
2,13,1
2,15,27
2,16,6
2,18,1
2,21,1
2,23,5
2,24,1
2,28,2
2,29,1
2,31,37
2,34,1
2,36,6
2,39,1
2,44,1
2,46,1
2,48,1
2,49,3
2,51,1
2,53,9
2,55,7
2,59,10
2,60,1
2,68,2
2,71,1
2,72,8
2,74,1
2,76,1
2,82,1
2,89,1
2,99,4
2,101,1
2,124,5
2,127,1
2,136,11
2,171,4
2,207,1
2,215,3
2,218,1
2,219,1
2,220,1
2,221,1
2,222,1
2,223,1
2,230,1
2,261,2
2,269,1
2,286,1
2,294,1
2,328,1
2,329,1
2,330,1
2,331,1
3,8,5
3,9,1
3,12,2
3,15,10
3,16,55
3,18,1
3,23,4
3,24,4
3,26,1
3,28,1
3,29,1
3,31,4
3,39,1
3,44,1
3,48,1
3,49,2
3,53,3
3,55,7
3,58,1
3,59,95
3,60,1
3,68,1
3,72,80
3,76,1
3,77,1
3,80,1
3,81,1
3,99,3
3,100,1
3,102,1
3,113,1
3,114,1
3,127,1
3,136,89
3,169,1
3,172,1
3,201,1
3,207,2
3,269,4
4,5,3
4,6,3
4,7,1
4,17,1
4,19,3
5,6,4
5,17,2
5,19,3
6,7,1
6,17,2
6,19,3
6,55,1
7,55,1
7,95,1
8,9,1
8,15,4
8,16,2
8,24,1
8,31,3
8,36,1
8,37,1
8,49,5
8,51,1
8,53,2
8,55,3
8,59,3
8,60,1
8,72,3
8,99,1
8,136,3
8,215,2
9,16,1
9,28,1
9,31,2
9,36,1
9,49,1
9,51,1
9,53,1
9,55,1
9,68,1
9,89,1
9,124,1
9,171,1
9,191,1
11,15,1
12,15,5
12,24,12
12,26,1
12,29,1
12,31,17
12,34,1
12,36,1
12,38,2
12,39,7
12,44,1
12,49,4
12,53,7
12,55,1
12,59,1
12,68,4
12,78,5
12,85,2
12,86,2
12,99,1
12,102,1
12,124,16
12,136,1
12,165,1
12,171,16
12,172,2
12,207,2
13,20,1
13,21,1
13,22,1
13,44,1
13,51,1
13,57,1
13,59,1
13,63,1
13,68,1
13,72,3
13,102,1
13,139,1
13,171,1
13,214,1
13,272,2
15,16,2
15,23,2
15,24,5
15,26,1
15,29,5
15,30,1
15,31,18
15,34,1
15,37,1
15,39,1
15,43,1
15,44,4
15,49,4
15,53,13
15,55,3
15,59,10
15,60,3
15,68,1
15,71,2
15,72,7
15,74,1
15,87,1
15,99,13
15,101,1
15,102,1
15,124,4
15,136,8
15,165,1
15,171,2
15,172,2
15,201,1
15,207,4
15,215,4
15,228,1
15,261,1
15,272,1
15,286,2
16,18,1
16,23,2
16,24,1
16,28,2
16,31,3
16,48,1
16,53,1
16,55,3
16,59,58
16,68,1
16,72,44
16,98,1
16,99,1
16,100,1
16,101,1
16,124,1
16,136,58
16,169,1
16,190,1
16,262,1
16,269,4
17,19,2
18,23,1
18,28,1
18,48,1
20,21,2
20,22,1
20,51,1
20,57,1
20,63,1
20,102,1
20,139,1
20,171,1
20,214,1
21,22,1
21,23,1
21,51,1
21,57,1
21,63,1
21,102,1
21,139,1
21,171,1
21,214,1
22,51,1
22,57,1
22,63,1
22,102,1
22,139,1
22,171,1
22,214,1
23,24,1
23,27,1
23,28,1
23,30,1
23,31,3
23,33,1
23,44,1
23,47,1
23,48,1
23,49,1
23,67,1
23,68,3
23,72,1
23,80,1
23,81,1
23,84,1
23,87,1
23,88,1
23,90,1
23,91,1
23,92,1
23,93,1
23,96,1
23,98,1
23,99,3
23,101,1
23,103,1
23,104,1
23,106,1
23,113,2
23,114,2
23,124,1
23,127,1
23,135,1
23,136,1
23,142,1
23,171,1
23,190,1
23,196,1
23,198,1
23,199,1
23,200,1
