ID,Label,Size
0,1448474516380733447,943
1,1448352833284235267,2063
2,1448160710492663810,74
3,1448436553194237957,36
4,1448289139825135618,4387
5,1448298072279244803,1747
6,1448378007438209026,704
7,1447997976698187777,1132
8,1448459638567936002,19
9,1448357887424741378,187
10,1448474291184574467,359
11,1447924683484106756,3
12,1448415552838451200,200
13,1448238571706458112,632
14,1448480025204838403,460
15,1448466636847996928,13
16,1448430293849935873,81
17,1448487694309330945,1
18,1447937880454803464,72
19,1448425020821282823,324
20,1448269455482503179,650
21,1448251637328318467,2092
22,1448328832033779712,5
23,1448480135062065152,1514
24,1447492090053595137,64
25,1448463250769670145,127
26,1448263314065092615,487
27,1448473051092426752,771
28,1448342611584974849,541
29,1448449390868320256,409
30,1448479404171173895,19
31,1448293570843086853,5599
32,1448442764077764612,656
33,1448322199039791110,287
34,1448318992335134730,380
35,1448261925612056577,46
36,1442400656791277572,1
37,1448274133305942018,4159
38,1448309946026708997,696
39,1448414600794451969,537
40,1448456457159004162,355
41,1448371814028226571,1
42,1448441606386892805,207
43,1447836880007876609,8
44,1448165687415824386,834
45,1448262778548936706,838
46,1448211712012861441,595
47,1448459346996699136,227
48,1445024607992311808,70
49,1448176824161165318,438
50,1448428809070383105,63
51,1446649341691695107,117
52,1448227779279945728,523
53,1448182364765491201,293
54,1447900765897388033,34
55,1448487466818842625,1
56,1448439209182863360,65
57,1446554309756432386,809
58,1448269820798058506,366
59,1448288765328433154,229
60,1448451384542744580,32
61,1448228014450298880,146
62,1443996171622666251,26
63,1448485443113140227,81
64,1448381405512310799,205
65,1448422303625187334,186
66,1448272309672833028,876
67,1448295933544828934,200
68,1448229994577027082,50
69,1448476252009115648,643
70,1448194726767718401,35
71,1448297053562589184,87
72,1448487290326630400,1
73,1448254863570243586,1852
74,1448249661593047048,3113
75,1448447936921276417,351
76,1448170020857548800,6453
77,1448474507581272064,150
78,1448313433032638469,88
79,1448287420286267395,1533
80,1448352618464616457,867
81,1448285462527758352,750
82,1448309997633515521,942
83,1448471030117195776,101
84,1448316347398725635,24
85,1447849541957476355,28
86,1448376516530905091,145
87,1447169122358333441,62
88,1448480077180649479,59
89,1447569037421006866,566
90,1448243158698102785,15
91,1447952807642890241,254
92,1448173569410691074,280
93,1448430995993239554,48
94,1448375050541801474,303
95,1448478926393815042,6
96,1448238872513687556,212
97,1448238132831219714,2033
98,1448370691913486342,55
99,1448457168085192705,62
100,1448487355636195331,1
101,1448487622364459011,1
102,1448307441217806343,641
103,1448212319373234178,4760
104,1448361621168934914,447
105,1448429578079260672,162
106,1448083854506463240,66
107,1448147613321150466,8
108,1448469772006526977,2
109,1448473759078256647,9
110,1448443836695470086,82
111,1448242264375902208,33
112,1448486800830443523,1
113,1448471339166310401,11
114,1448408131629953030,311
115,1448374624895619074,50
116,1442188635101663233,16
117,1448411812492369920,25
118,1448399049665679364,139
119,1448046763881947149,45
120,1448339708547899395,275
121,1446873608350048260,17
122,1448264799205351428,144
123,1448121343032053768,514
124,1448044535200632832,2
125,1448450390467350528,51
126,1448287413101494279,83
127,1448381018121990145,15
128,1448149166304149509,4
129,1448099935337938950,22
130,1448486493840973824,1
131,1448383660873289731,80
132,1448305925161250817,3043
133,1448302814015508486,444
134,1448257416634658823,441
135,1445195420859129858,1
136,1448279492414173194,182
137,1448405768571555841,68
138,1448363653527334913,60
139,1448407111508037634,114
140,1447963523565465602,3
141,1448453871769034756,46
142,1448386010262511621,184
143,1447539646582435840,14
144,1448254243538972672,250
145,1448437453979750405,21
146,1448056424102252545,638
147,1448451927692484614,82
148,1448369370330279947,89
149,1448259499597316104,63
150,1448138483474698244,1762
151,1448263724964491273,160
152,1448478378672246786,40
153,1447981291463340034,162
154,1447690354938023942,72
155,1448482514276794371,33
156,1448480935020687366,19
157,1448257420166238211,256
158,1448262790192508930,3
159,1448459425568550915,13
160,1448359986543874057,305
161,1448154829289926657,37
162,1448143474369314819,3
163,1447302182894804997,179
164,1448484411498897412,26
165,1448321406760992771,283
166,1448259202917416965,45
167,1444673726193274880,40
168,1448386306460037120,73
169,1448273773216497665,196
170,1448485322371710979,5
171,1447659544931442696,6
172,1448486855565996032,7
173,1448144929755058180,192
174,1447971678550691856,44
175,1448478523207950340,6
176,1447879972182446088,212
177,1448083649434427399,6
178,1448330570484760583,509
179,1447172124842479620,3
180,1448169513271250945,1
181,1448463939369582593,32
182,1447993675997458432,2
183,1448300158912016384,688
184,1448479531551977475,7
185,1448409596104638464,48
186,1448165057267916801,41
187,1448412357097627648,69
188,1448046502191017987,110
189,1448393106865467392,79
190,1448031272970997766,129
191,1447870427993346052,84
192,1448373771258183680,3
193,1447774380407209984,9
194,1448404806385782791,43
195,1445247651818049542,659
196,1448195850463637504,153
197,1448279295848112132,157
198,1448333408426348545,184
199,1447944934632341510,98
200,1448018439931580416,23
201,1448462370200641541,24
202,1447716873630519300,42
203,1448360512463556611,23
204,1448436250575347715,137
205,1448220396373696518,12004
206,1448033564772089859,35
207,1448384861425881090,322
208,1447839530959183873,298
209,1448151624476598280,622
210,1448125256523259913,528
211,1448363265243942924,119
212,1447882794559025161,1
213,1448418329186603008,36
214,1448404754762113032,92
215,1448345211931959304,413
216,1447875026095525891,43
217,1448163429198569474,63
218,1448473264154570753,115
219,1448067571228549121,228
220,1448419801429336069,78
221,1448438825169133569,68
222,1448247378570588163,525
223,1448486946888724484,3
224,1448264500914782208,89
225,1448457599708393474,3
226,1448144306951188484,163
227,1448170284637298690,18
228,1447487644322074629,1
229,1448352889525743622,115
230,1448412168488198150,96
231,1448222982078353410,16
232,1447648226065195010,1
233,1444023179631022082,3208
234,1448445266600812547,24
235,1448483336092110857,2
236,1448294424107261958,123
237,1448302111029088258,555
238,1448302152569344000,291
239,1448216458010447873,460
240,1448460878970511360,118
241,1448332126865149958,315
242,1445402912709021696,1
243,1448315678537175043,162
244,1448309810211037193,8
245,1447668240931381251,118
246,1448479297291882496,39
247,1448011222381694976,190
248,1448471340411850754,14
249,1448463156091645954,39
250,1430964630571081734,768
251,1448362544238931974,153
252,1448229060103004161,531
253,1442765985073692675,366
254,1448184547850346498,16
255,1448384220024512512,1
256,1448168231127113733,38
257,1448255221105246214,74
258,1447621783729934336,13
259,1447943838505574409,1169
260,1448362662262362119,82
261,1448277181180878849,81
262,1448486728164003845,1
263,1448363210634039301,33
264,1448337895232770050,20
265,1448309122508607493,53
266,1448169802288308226,44
267,1448024378105638913,1488
268,1448272032953557000,49
269,1448087779892764676,1
270,1446114425711120395,10
271,1448117229451628548,2022
272,1448319875353559047,27
273,1448411328352333826,54
274,1448359721832964110,126
275,1442429187671928834,3
276,1448304564202090500,816
277,1448273716610154502,241
278,1448386087936827393,251
279,1448347808419893251,98
280,1448433212699471872,89
281,1448170076667056130,39
282,1447887503248306180,191
283,1448272199257841665,218
284,1448300342786076672,120
285,1448306926542987265,295
286,1447951419001081867,155
287,1447983045710004224,88
288,1448460790550315008,22
289,1448219006691905543,391
290,1448251890257448966,20
291,1448180218267516930,1216
292,1448274987828199424,27
293,1448292868364308481,9
294,1448378258534379526,195
295,1448468722415452160,106
296,1447941431289581569,136
297,1448186812271267841,13
298,1447845874596515841,95
299,1448363868351311880,55
300,1448289684019236864,191
301,1448257888909029379,158
302,1446891535153332225,19
303,1448426670642417668,138
304,1447837666804842497,4
305,1448382178467794944,239
306,1448249301071585285,561
307,1448471727516921856,26
308,1447972148815929346,1
309,1448301790626148355,116
310,1448031470904356867,138
311,1448282401424035850,338
312,1448207258249203717,259
313,1448443175727767552,23
314,1448259796847714311,212
315,1448287336886939658,51
316,1448246618205999108,6
317,1448410486517633025,60
318,1447844001432834053,58
319,1448414953933717505,62
320,1446292250795733001,7
321,1447821731842854924,45
322,1447781574116876289,2
323,1448197568652062724,118
324,1448486898289332224,1
325,1448483715005419522,4
326,1448363203151503360,128
327,1448249661270147076,6
328,1448106374626430988,185
329,1448178045924397057,67
330,1445396356667871232,5
331,1437431206505848832,1
332,1448317155007602691,399
333,1443693589129687056,1
334,1448357106545934339,83
335,1448262149567131651,313
336,1448193631915937794,113
337,1435779133364183047,9
338,1448376156265369604,72
339,1448088649120174081,174
340,1448455507799273476,25
341,1448288175835820033,202
342,1448278858193461253,7
343,1448035597487017987,161
344,1448273882855608321,27
345,1448433656301764614,9
346,1448214277085704194,9
347,1447941213324300298,1023
348,1448409965161549830,103
349,1448444892544475137,4
350,1448432956674953221,260
351,1448208424869707777,944
352,1448382325704646659,228
353,1448346728810250245,120
354,1448138021929295889,3
355,1448334629899943937,139
356,1448423350875873290,21
357,1448148364856418307,79
358,1448319560478871555,113
359,1448361248626823175,115
360,1448183164967522306,42
361,1448352663481978880,234
362,1448455868564090880,6
363,1448278873448321025,285
364,1448284654872645632,2240
365,1448293883763478541,91
366,1448221798429044738,82
367,1448253150192881670,81
368,1448453010682638337,44
369,1448358825342472194,5
370,1448307469806182408,2
371,1447954214886510598,529
372,1448213188839985153,316
373,1448386915120599043,241
374,1447855157262360577,12
375,1448164342772404225,82
376,1448094580658737153,69
377,1444885622607466497,72
378,1448194089120264192,71
379,1448290916934963207,484
380,1447434899024072706,115
381,1448446678248443908,60
382,1447196682697854977,7
383,1448422023902941185,35
384,1447747797063647233,989
385,1448242928728489989,2772
386,1448444352045281285,150
387,1446125546887258112,1
388,1448004601123328008,87
389,1448398449003704321,83
390,1447745695520210947,34
391,1448209288229318658,32
392,1448379516343177217,2
393,1448372555354558464,48
394,1443931208434388992,41
395,1448275775057059842,16
396,1448431537758871552,87
397,1448342782381264898,159
398,1448295405700075530,137
399,1448444750185394176,72
400,1448486291872665601,1
401,1448483705652084737,1
402,1448016032463998978,617
403,1447994426677149697,75
404,1448010469038387200,6
405,1447201400983891973,183
406,1448465341265367047,18
407,1446649439574056967,1
408,1447665583302930432,64
409,1448392825536761857,73
410,1448287926958370816,39
411,1448365444872740866,105
412,1448431486672117764,14
413,1448238298695028738,39
414,1448276273197993990,252
415,1448347805706113026,59
416,1448264155614482438,52
417,1439298592162779139,55
418,1447782325643669511,190
419,1448430464172113923,29
420,1448482957832953857,4
421,1448323571365789696,164
422,1448259583785373702,62
423,1448085652160106504,268
424,1447047234554454017,3
425,1447626669771067393,2524
426,1448473424863522817,2
427,1448236597183492096,301
428,1448477568865341441,1
429,1448389140811182084,12
430,1448482674998272003,16
431,1447839934446981120,112
432,1448456288346820616,48
433,1448362674023276551,972
434,1443626233133211652,211
435,1448337429170098187,148
